dataset,column,typeof,definition
ald_scenario_demo,domicile_region,character,Country where company is registered
ald_scenario_demo,ald_emission_factor,double,Company level emission factor of the technology
ald_scenario_demo,is_ultimate_owner,logical,Flag if company is the ultimate parent in our database
ald_scenario_demo,id,character,The financial instrument-specific id that defines the company (or corporate bond pool)
ald_scenario_demo,ald_location,character,Country where asset is located
ald_scenario_demo,ald_production,double,Company level production of the technology
ald_scenario_demo,ald_production_unit,character,The units that production is measured in
ald_scenario_demo,ald_sector,character,Sector to which the asset belongs
ald_scenario_demo,technology,character,Technology implemented by the asset
ald_scenario_demo,year,integer,Year at which the production value is predicted
ald_scenario_demo,id_name,character,Name of the ID provided in the id column. The id is used for mapping of the dataset to a given portfolio (for credit: company_name for corporate bonds: corporate_ticker for equity: bloomberg_id)
ald_scenario_demo,ald_emission_factor_unit,character,The units that the emission factor is measured in
ald_scenario_demo,scenario,character,Abbreviation of the scenario pathway name (e.g. Sustainable Development Scenario is sds)
ald_scenario_demo,scenario_region,character,The region of the production (from the asset location). It is aggregated to the regions given by the scenarios to allow the application of the regional scenario pathway
ald_scenario_demo,scenario_source,character,The source publication from which the scenario was taken
ald_scenario_demo,tmsr,double,Technology market share ratio
ald_scenario_demo,smsp,double,Sector market share percentage